firstname,weight,male,female
maria,169642,0,1
jose,127998,1,0
juan,85184,1,0
ana,59407,0,1
cristina,49687,0,1
david,48520,1,0
javier,47264,1,0
antonio,45113,1,0
carlos,44456,1,0
laura,43126,0,1
francisco,42104,1,0
carmen,41562,0,1
marta,39685,0,1
miguel,39468,1,0
luis,33148,1,0
manuel,32937,1,0
isabel,31000,0,1
raquel,29151,0,1
silvia,28230,0,1
rosa,28093,0,1
elena,27532,0,1
patricia,26427,0,1
pedro,26257,1,0
pilar,26127,0,1
sonia,26108,0,1
alberto,24946,1,0
jorge,24503,1,0
sandra,24336,0,1
beatriz,24284,0,1
jesus,24219,1,0
daniel,24123,1,0
sergio,24087,1,0
eva,24078,0,1
susana,23429,0,1
fernando,21588,1,0
nuria,21190,0,1
monica,21161,0,1
sara,20935,0,1
oscar,20077,1,0
yolanda,20073,0,1
angel,19467,1,0
esther,19294,0,1
pablo,18970,1,0
alejandro,16082,1,0
victor,15915,1,0
raul,15604,1,0
rocio,15476,0,1
rafael,14627,1,0
natalia,14594,0,1
jordi,14511,1,0
roberto,14446,1,0
lorena,14206,0,1
ruben,14198,1,0
veronica,14015,0,1
alicia,13948,0,1
mercedes,13772,0,1
noelia,13627,0,1
teresa,13583,0,1
vanessa,13478,0,1
diego,13316,1,0
mari,13160,0,1
ivan,13061,1,0
carolina,12955,0,1
montse,12726,0,1
miriam,11595,0,1
eduardo,11546,1,0
mar,11441,0,1
anna,11250,0,1
olga,10980,0,1
enrique,10971,1,0
irene,10875,0,1
alvaro,10751,1,0
paula,10361,0,1
gema,9671,0,1
ricardo,9452,1,0
vanesa,9294,0,1
lucia,9202,0,1
virginia,9150,0,1
belen,9088,0,1
lourdes,9039,0,1
andres,8879,1,0
mario,8673,1,0
andrea,8509,0,1
ignacio,8338,1,0
inmaculada,8229,0,1
alba,8213,0,1
maite,8098,0,1
gemma,8076,0,1
vicente,8001,1,0
alfonso,7993,1,0
jaime,7930,1,0
marcos,7916,1,0
alex,7901,1,0
julio,7838,1,0
ramon,7806,1,0
gloria,7794,0,1
pepe,7587,1,0
marina,7572,0,1
diana,7491,0,1
angela,7362,0,1
lidia,7349,0,1
inma,7285,0,1
jessica,7247,0,1
victoria,7236,0,1
joan,7226,1,0
santiago,6994,1,0
rebeca,6830,0,1
montserrat,6746,0,1
julia,6667,0,1
emilio,6619,1,0
joaquin,6569,1,0
angeles,6548,0,1
lola,6545,0,1
adrian,6491,1,0
antonia,6485,0,1
maribel,6385,0,1
amparo,6352,0,1
paloma,6323,0,1
josep,6295,1,0
cesar,6246,1,0
marc,6179,1,0
almudena,6017,0,1
tamara,6005,0,1
javi,5988,1,0
margarita,5974,0,1
blanca,5944,0,1
estefania,5938,0,1
paco,5894,1,0
leticia,5829,0,1
claudia,5796,0,1
guillermo,5776,1,0
albert,5755,1,0
marisa,5751,0,1
tania,5723,0,1
mireia,5616,0,1
cristian,5571,1,0
alejandra,5481,0,1
gonzalo,5407,1,0
rosario,5318,0,1
toni,5287,1,0
noemi,5240,0,1
fran,5182,1,0
nieves,5167,0,1
clara,5160,0,1
ruth,5094,0,1
elisa,5010,0,1
nerea,4964,0,1
xavier,4900,1,0
borja,4834,1,0
luisa,4805,0,1
marian,4750,0,1
ainhoa,4703,0,1
dolores,4685,0,1
aitor,4633,1,0
gabriel,4597,1,0
alfredo,4560,1,0
adriana,4558,0,1
mayte,4516,0,1
dani,4472,1,0
salvador,4456,1,0
ester,4444,0,1
rafa,4412,1,0
ines,4407,0,1
hector,4382,1,0
juana,4246,0,1
conchi,4133,0,1
paqui,4117,0,1
celia,4082,0,1
ismael,3963,1,0
julian,3960,1,0
carla,3922,0,1
francisca,3898,0,1
aurora,3854,0,1
manuela,3814,0,1
nacho,3802,1,0
tomas,3764,1,0
martin,3720,1,0
arantxa,3621,0,1
soraya,3588,0,1
esperanza,3587,0,1
judith,3578,0,1
agustin,3508,1,0
felipe,3491,1,0
gustavo,3484,1,0
fatima,3482,0,1
amaia,3467,0,1
jennifer,3467,0,1
felix,3422,1,0
sofia,3416,0,1
jonathan,3407,1,0
loli,3400,0,1
mikel,3360,1,0
elisabet,3356,0,1
marisol,3352,0,1
elisabeth,3269,0,1
sergi,3262,1,0
alexandra,3175,0,1
aida,3111,0,1
sheila,3054,0,1
rodrigo,3042,1,0
anabel,3028,0,1
marco,3016,1,0
barbara,3007,0,1
paola,2976,0,1
samuel,2945,1,0
arturo,2913,1,0
helena,2908,0,1
soledad,2896,0,1
xavi,2888,1,0
estela,2868,0,1
encarna,2853,0,1
mariano,2850,1,0
lara,2840,0,1
cecilia,2835,0,1
laia,2822,0,1
charo,2819,0,1
marga,2810,0,1
erika,2772,0,1
